timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-02-04T11:04:35,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,ddf119c1-4a45-420a-ac4c-cc5babc528c8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4756560840000001,3.367714686246756e-07,7.080146348441861e-07,42.5,0.0,3.0,5.614910627083336e-06,0,3.946803475000002e-07,6.009590974583336e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:37,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,8deac9b5-4478-4ab0-a691-59221cf0a44c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.1264899160000006,7.9783559768328e-07,7.08249214086422e-07,42.5,0.0,3.0,1.3298529886111116e-05,0,9.386192008333334e-07,1.4237149086944448e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:40,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,8b530cb5-91c2-477f-b74f-ebf2f80a3556,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9727748750000007,2.105510164716443e-06,7.082642491441409e-07,42.5,0.0,3.0,3.509499970277779e-05,0,2.4772297216666673e-06,3.7572229424444454e-05,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:41,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,b519546f-1f4b-48bc-b507-30073b05d9e0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0346450829999991,2.451446667233736e-08,7.07588625847367e-07,42.5,0.0,3.0,4.08708817361092e-07,0,2.8744860833332572e-08,4.374536781944246e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:41,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,e259b085-f17a-4cbc-bcaa-44e2c66f29d9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0527235829999988,3.732084100038461e-08,7.078585876909288e-07,42.5,0.0,3.0,6.221522819444424e-07,0,4.3827499999999914e-08,6.659797819444424e-07,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:42,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,98f8d747-3103-4dae-926e-e843c86d2b77,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0906065839999996,6.41447111401926e-08,7.079475718916061e-07,42.5,0.0,3.0,1.0693182041666682e-06,0,7.53259033333335e-08,1.1446441075000017e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:04:43,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,5f562078-aec4-4238-ab9e-03db18dc4237,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.4035174579999996,2.8577935389256186e-07,7.082205446797846e-07,42.5,0.0,3.0,4.763485094444453e-06,0,3.361661108333329e-07,5.099651205277786e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:31:20,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,7bb61de9-edea-45ca-8de6-30a6b7c88bee,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.478282041000057,1.167100814132527e-05,7.082660748424089e-07,42.5,0.0,3.0,0.0001945343188249,0,1.3731498575833332e-05,0.0002082658174008,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:31:36,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,4c715640-73d3-4ef7-8f36-c533332a19ac,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.87688137500004,1.0536728893555165e-05,7.082619419995972e-07,42.5,0.0,3.0,0.0001756284481402,0,1.2396479027499936e-05,0.0001880249271677,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:48,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,cd097f6b-2785-4d9e-98f1-458da7ee9a86,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.1552085420000821,1.0989921298093197e-07,7.080745142292088e-07,42.5,0.0,3.0,1.8319083951390608e-06,0,1.2921177083342173e-07,1.9611201659724823e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
2025-02-04T11:33:49,Hackathon 2 - Data/IA - Groupe 1 - Depression_Analysis.ipynb,eabeaf64-582d-4ecd-858e-fb739c358e32,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.6409447910000381,4.5393979633723e-07,7.082354092135886e-07,42.5,0.0,3.0,7.566425520834249e-06,0,5.340009025000352e-07,8.100426423334284e-06,France,FRA,auvergne rhône-alpes,,,macOS-15.1-arm64-arm-64bit,3.9.6,2.8.3,8,Apple M2,,,,,8.0,machine,N,1.0
